gamma,auc,control_mean,control_sd
0.0,0.647287,0.490956,0.072268
0.01,0.649871,0.490956,0.071716
0.01778,0.653747,0.486563,0.069406
0.03162,0.665375,0.475969,0.070181
0.05623,0.677003,0.474160,0.072204
0.1,0.669251,0.470026,0.061807
0.1778,0.679587,0.483204,0.061870
0.3162,0.674419,0.487597,0.051210
0.5623,0.687339,0.501550,0.052055
1.0,0.656331,0.508010,0.045572
1.778,0.589147,0.506977,0.037146
3.162,0.549096,0.516537,0.029205
5.623,0.515504,0.512920,0.015000
10.0,0.506460,0.515762,0.009187
17.78,0.527132,0.530491,0.008114
31.62,0.560724,0.564599,0.000000
56.23,0.593023,0.593023,0.000000
100.0,0.627907,0.627907,0.000000
