gamma,auc,control_mean,control_sd
0.0,0.740310,0.649612,0.055133
0.01,0.744186,0.651421,0.055579
0.01778,0.745478,0.653230,0.053816
0.03162,0.755814,0.655556,0.054721
0.05623,0.767442,0.659690,0.055514
0.1,0.781654,0.674160,0.046708
0.1778,0.806202,0.700258,0.039214
0.3162,0.813953,0.721964,0.026858
0.5623,0.829457,0.743152,0.021917
1.0,0.821705,0.755556,0.023702
1.778,0.797158,0.760207,0.021349
3.162,0.775194,0.766150,0.017003
5.623,0.767442,0.767959,0.008236
10.0,0.768734,0.773385,0.005077
17.78,0.785530,0.786305,0.002532
31.62,0.810078,0.812145,0.000633
56.23,0.837209,0.838501,0.000817
100.0,0.878553,0.878553,0.000000
