gamma,transport_distal_mean,control_mean,control_sd
0.0,0.150692,0.133130,0.017408
0.01,0.153551,0.136588,0.016948
0.01778,0.155547,0.139010,0.016599
0.03162,0.158674,0.142820,0.015997
0.05623,0.163171,0.148328,0.014985
0.1,0.168851,0.155333,0.013376
0.1778,0.174871,0.162834,0.011074
0.3162,0.180046,0.169512,0.008290
0.5623,0.183460,0.174486,0.005540
1.0,0.184586,0.177177,0.003315
1.778,0.182721,0.176810,0.001874
3.162,0.176669,0.172189,0.001135
5.623,0.164483,0.161326,0.000814
10.0,0.143606,0.141597,0.000588
17.78,0.113608,0.112535,0.000344
31.62,0.079301,0.078851,0.000156
56.23,0.047625,0.047474,0.000057
100.0,0.023567,0.023527,0.000016
