gamma,auc,control_mean,control_sd
0.0,0.554886,0.455689,0.086151
0.01,0.536479,0.458969,0.085011
0.01778,0.525100,0.462182,0.083419
0.03162,0.517403,0.465797,0.077876
0.05623,0.518072,0.468173,0.069960
0.1,0.525100,0.477443,0.065475
0.1778,0.549197,0.488119,0.065172
0.3162,0.579987,0.496386,0.081127
0.5623,0.628849,0.505957,0.096089
1.0,0.683400,0.528916,0.100135
1.778,0.727242,0.564257,0.087172
3.162,0.724230,0.601205,0.060613
5.623,0.690094,0.628715,0.040746
10.0,0.674364,0.638621,0.024833
17.78,0.661981,0.648193,0.007047
31.62,0.657631,0.656459,0.003669
56.23,0.656292,0.652410,0.002134
100.0,0.639558,0.641232,0.000367
