gamma,auc,control_mean,control_sd
0.0,0.431058,0.355823,0.064041
0.01,0.418675,0.355154,0.063154
0.01778,0.410643,0.353481,0.060723
0.03162,0.398260,0.352276,0.058243
0.05623,0.389893,0.347992,0.054020
0.1,0.379518,0.341432,0.046879
0.1778,0.379518,0.332999,0.041028
0.3162,0.378849,0.326171,0.045412
0.5623,0.399598,0.324565,0.049004
1.0,0.422021,0.330589,0.047409
1.778,0.430723,0.337751,0.042644
3.162,0.409639,0.343909,0.032633
5.623,0.385207,0.351272,0.021995
10.0,0.373159,0.354351,0.011954
17.78,0.362115,0.355823,0.004002
31.62,0.355422,0.353614,0.001263
56.23,0.348059,0.346519,0.000341
100.0,0.336680,0.337282,0.000134
