gamma,transport_distal_mean,control_mean,control_sd
0.0,0.076395,0.080900,0.002502
0.01,0.077150,0.081950,0.002359
0.01778,0.077689,0.082672,0.002256
0.03162,0.078556,0.083784,0.002090
0.05623,0.079862,0.085342,0.001842
0.1,0.081656,0.087237,0.001514
0.1778,0.083872,0.089160,0.001165
0.3162,0.086326,0.090767,0.000891
0.5623,0.088644,0.091837,0.000725
1.0,0.090273,0.092233,0.000606
1.778,0.090711,0.091710,0.000498
3.162,0.089368,0.089719,0.000404
5.623,0.085250,0.085246,0.000320
10.0,0.076856,0.076727,0.000226
17.78,0.063035,0.062929,0.000120
31.62,0.045028,0.044983,0.000043
56.23,0.026849,0.026838,0.000011
100.0,0.012832,0.012830,0.000002
