gamma,auc,control_mean,control_sd
0.0,0.537847,0.576181,0.051440
0.01,0.547569,0.584028,0.052906
0.01778,0.555208,0.590417,0.057150
0.03162,0.565278,0.600972,0.058270
0.05623,0.575694,0.614583,0.062551
0.1,0.594444,0.632083,0.065597
0.1778,0.628472,0.635347,0.067218
0.3162,0.646181,0.653056,0.067397
0.5623,0.652778,0.662639,0.066943
1.0,0.665972,0.672500,0.057036
1.778,0.656597,0.672986,0.041747
3.162,0.662847,0.669167,0.021220
5.623,0.664236,0.675625,0.010546
10.0,0.677083,0.678611,0.004938
17.78,0.676389,0.679306,0.001310
31.62,0.663542,0.667153,0.001483
56.23,0.655208,0.659097,0.002536
100.0,0.665625,0.665625,0.000000
