gamma,auc,control_mean,control_sd
0.0,0.720486,0.735556,0.023301
0.01,0.732292,0.746111,0.022361
0.01778,0.740625,0.753403,0.023792
0.03162,0.750000,0.765208,0.023548
0.05623,0.767014,0.781528,0.020985
0.1,0.787847,0.799097,0.020087
0.1778,0.809028,0.815417,0.020359
0.3162,0.816667,0.829653,0.021697
0.5623,0.822222,0.836250,0.020510
1.0,0.827778,0.840486,0.015841
1.778,0.831250,0.842500,0.010355
3.162,0.837847,0.845903,0.005984
5.623,0.841319,0.848472,0.002722
10.0,0.846181,0.849167,0.001089
17.78,0.844792,0.846181,0.000380
31.62,0.840972,0.842361,0.000380
56.23,0.837500,0.838194,0.000380
100.0,0.835764,0.835764,0.000000
