gamma,transport_distal_mean,control_mean,control_sd
0.0,0.030746,0.035347,0.007939
0.01,0.031904,0.035837,0.007300
0.01778,0.032718,0.036210,0.006870
0.03162,0.034005,0.036849,0.006225
0.05623,0.035893,0.037904,0.005363
0.1,0.038383,0.039511,0.004385
0.1778,0.041263,0.041640,0.003467
0.3162,0.044111,0.043948,0.002701
0.5623,0.046285,0.045801,0.002068
1.0,0.047032,0.046393,0.001507
1.778,0.045555,0.044821,0.000988
3.162,0.040961,0.040265,0.000554
5.623,0.032863,0.032364,0.000263
10.0,0.022224,0.021959,0.000118
17.78,0.011778,0.011688,0.000045
31.62,0.004528,0.004511,0.000011
56.23,0.001163,0.001162,0.000002
100.0,0.000185,0.000185,0.000000
