gamma,auc,control_mean,control_sd
0.0,0.343373,0.381258,0.042956
0.01,0.337684,0.373494,0.044828
0.01778,0.333333,0.369009,0.044577
0.03162,0.326305,0.358367,0.044555
0.05623,0.320616,0.347858,0.045868
0.1,0.314926,0.337617,0.046344
0.1778,0.294846,0.329987,0.048221
0.3162,0.283467,0.324230,0.046957
0.5623,0.282129,0.304083,0.039142
1.0,0.280120,0.284404,0.044235
1.778,0.259705,0.273427,0.041907
3.162,0.237282,0.270683,0.042809
5.623,0.240964,0.270750,0.033649
10.0,0.237282,0.250736,0.017655
17.78,0.231258,0.231593,0.007956
31.62,0.235944,0.237282,0.003104
56.23,0.267068,0.266265,0.001071
100.0,0.293507,0.293775,0.001801
