gamma,auc,control_mean,control_sd
0.0,0.232262,0.279853,0.022959
0.01,0.229250,0.274364,0.022680
0.01778,0.225234,0.270214,0.024122
0.03162,0.221888,0.264257,0.023512
0.05623,0.218206,0.257965,0.023857
0.1,0.212517,0.252142,0.023557
0.1778,0.205489,0.243775,0.022103
0.3162,0.199465,0.234137,0.019719
0.5623,0.196787,0.221754,0.017152
1.0,0.192102,0.206225,0.012774
1.778,0.188420,0.196319,0.013119
3.162,0.183735,0.194444,0.012553
5.623,0.185408,0.193373,0.010176
10.0,0.187082,0.190629,0.005944
17.78,0.190094,0.190763,0.002558
31.62,0.197791,0.198394,0.001205
56.23,0.218206,0.217871,0.000367
100.0,0.238621,0.238755,0.000268
