gamma,transport_distal_mean,control_mean,control_sd
0.0,0.043185,0.054530,0.001611
0.01,0.044575,0.055481,0.001370
0.01778,0.045583,0.056157,0.001247
0.03162,0.047232,0.057242,0.001137
0.05623,0.049776,0.058863,0.001138
0.1,0.053352,0.061046,0.001256
0.1778,0.057749,0.063601,0.001311
0.3162,0.062317,0.066138,0.001180
0.5623,0.066138,0.068124,0.000905
1.0,0.068288,0.068830,0.000622
1.778,0.067942,0.067446,0.000476
3.162,0.064245,0.063186,0.000410
5.623,0.056464,0.055373,0.000313
10.0,0.044820,0.044103,0.000204
17.78,0.031263,0.030964,0.000106
31.62,0.018456,0.018377,0.000039
56.23,0.008603,0.008590,0.000010
100.0,0.002939,0.002938,0.000002
