gamma,auc,control_mean,control_sd
0.0,0.158600,0.259680,0.041057
0.01,0.159070,0.254511,0.036235
0.01778,0.153430,0.248731,0.032895
0.03162,0.148731,0.240742,0.030250
0.05623,0.131814,0.233130,0.029546
0.1,0.126645,0.229558,0.029440
0.1778,0.131109,0.223308,0.030963
0.3162,0.154370,0.216823,0.044787
0.5623,0.170818,0.225282,0.052359
1.0,0.195489,0.233083,0.054224
1.778,0.250470,0.271335,0.052080
3.162,0.296992,0.295348,0.042997
5.623,0.319314,0.318985,0.019655
10.0,0.329182,0.331203,0.009560
17.78,0.331532,0.330874,0.004100
31.62,0.325893,0.324953,0.001151
56.23,0.308741,0.308741,0.000000
100.0,0.307801,0.307801,0.000000
