gamma,auc,control_mean,control_sd
0.0,0.101034,0.147086,0.014539
0.01,0.096805,0.144549,0.014532
0.01778,0.093515,0.142575,0.014143
0.03162,0.092575,0.139568,0.014132
0.05623,0.091165,0.136654,0.013798
0.1,0.091165,0.134398,0.014447
0.1778,0.097744,0.134211,0.016029
0.3162,0.108083,0.133177,0.019004
0.5623,0.121241,0.138534,0.019515
1.0,0.138628,0.150846,0.014057
1.778,0.154605,0.164568,0.010259
3.162,0.168703,0.170113,0.005847
5.623,0.172932,0.173308,0.003484
10.0,0.174342,0.175000,0.001282
17.78,0.174812,0.174906,0.000548
31.62,0.174812,0.175094,0.000479
56.23,0.176222,0.176222,0.000000
100.0,0.180921,0.180921,0.000000
