gamma,transport_distal_mean,control_mean,control_sd
0.0,0.028988,0.031616,0.002371
0.01,0.029901,0.032338,0.002349
0.01778,0.030551,0.032856,0.002332
0.03162,0.031596,0.033694,0.002300
0.05623,0.033168,0.034965,0.002242
0.1,0.035312,0.036713,0.002134
0.1778,0.037886,0.038799,0.001965
0.3162,0.040522,0.040848,0.001753
0.5623,0.042630,0.042337,0.001520
1.0,0.043497,0.042747,0.001268
1.778,0.042547,0.041652,0.001017
3.162,0.039493,0.038737,0.000771
5.623,0.034393,0.033885,0.000521
10.0,0.027531,0.027226,0.000296
17.78,0.019352,0.019192,0.000133
31.62,0.011091,0.011030,0.000043
56.23,0.004829,0.004815,0.000009
100.0,0.001529,0.001527,0.000001
