gamma,auc,control_mean,control_sd
0.0,0.562500,0.383218,0.060796
0.01,0.566551,0.381076,0.060711
0.01778,0.559028,0.374884,0.056483
0.03162,0.546296,0.371644,0.054784
0.05623,0.546296,0.369502,0.054356
0.1,0.532407,0.359086,0.049827
0.1778,0.512153,0.361690,0.054009
0.3162,0.492477,0.354572,0.061843
0.5623,0.469329,0.350752,0.071968
1.0,0.429977,0.350752,0.078367
1.778,0.427662,0.365162,0.074050
3.162,0.407986,0.378356,0.052726
5.623,0.402199,0.383623,0.038459
10.0,0.395833,0.386053,0.020452
17.78,0.390625,0.386458,0.009248
31.62,0.401620,0.397106,0.003556
56.23,0.417245,0.416551,0.002466
100.0,0.423032,0.422106,0.002472
