gamma,auc,control_mean,control_sd
0.0,0.563079,0.448264,0.096408
0.01,0.567708,0.448611,0.096696
0.01778,0.564236,0.448380,0.095358
0.03162,0.559028,0.448843,0.093143
0.05623,0.558449,0.446875,0.088823
0.1,0.549190,0.446644,0.082520
0.1778,0.531829,0.449884,0.074599
0.3162,0.517361,0.452199,0.065521
0.5623,0.520255,0.460995,0.055636
1.0,0.515625,0.475000,0.047557
1.778,0.516782,0.491319,0.038833
3.162,0.517940,0.503704,0.025905
5.623,0.518519,0.510764,0.017263
10.0,0.521412,0.518287,0.008351
17.78,0.523727,0.522569,0.002882
31.62,0.529514,0.529630,0.001693
56.23,0.540509,0.540162,0.000785
100.0,0.549769,0.549421,0.000694
