gamma,transport_distal_mean,control_mean,control_sd
0.0,0.079433,0.074563,0.007684
0.01,0.080316,0.075735,0.007317
0.01778,0.080953,0.076567,0.007058
0.03162,0.081991,0.077897,0.006646
0.05623,0.083574,0.079875,0.006035
0.1,0.085760,0.082517,0.005213
0.1778,0.088357,0.085562,0.004241
0.3162,0.090899,0.088490,0.003245
0.5623,0.092827,0.090647,0.002367
1.0,0.093443,0.091371,0.001711
1.778,0.091832,0.090002,0.001289
3.162,0.087136,0.085779,0.001009
5.623,0.078629,0.077805,0.000743
10.0,0.065965,0.065538,0.000458
17.78,0.050082,0.049890,0.000214
31.62,0.033420,0.033345,0.000074
56.23,0.018867,0.018843,0.000020
100.0,0.008617,0.008611,0.000004
