gamma,auc,control_mean,control_sd
0.0,0.485000,0.469000,0.108713
0.01,0.486667,0.473333,0.112968
0.01778,0.478889,0.475667,0.111768
0.03162,0.478889,0.471222,0.116017
0.05623,0.478889,0.467111,0.108511
0.1,0.465556,0.454778,0.115680
0.1778,0.477222,0.442222,0.117590
0.3162,0.496111,0.432000,0.114681
0.5623,0.476667,0.422667,0.116575
1.0,0.452778,0.419556,0.113384
1.778,0.430000,0.413111,0.098241
3.162,0.432222,0.424000,0.068842
5.623,0.422222,0.413111,0.043993
10.0,0.378333,0.387111,0.024488
17.78,0.345000,0.350111,0.008414
31.62,0.340000,0.338444,0.003468
56.23,0.332778,0.330444,0.004491
100.0,0.329444,0.329444,0.000000
