gamma,auc,control_mean,control_sd
0.0,0.348333,0.335222,0.060971
0.01,0.345000,0.335444,0.060125
0.01778,0.345000,0.334111,0.058288
0.03162,0.343889,0.332333,0.058313
0.05623,0.340556,0.328444,0.054557
0.1,0.335556,0.322222,0.056326
0.1778,0.332778,0.314667,0.056134
0.3162,0.333889,0.304556,0.054800
0.5623,0.327778,0.299333,0.049882
1.0,0.318333,0.294444,0.044160
1.778,0.310000,0.294889,0.035114
3.162,0.304444,0.298556,0.023037
5.623,0.301111,0.297444,0.014451
10.0,0.290556,0.291444,0.007986
17.78,0.285000,0.285111,0.002568
31.62,0.287222,0.287778,0.001267
56.23,0.291111,0.290333,0.000903
100.0,0.292778,0.293000,0.000272
