gamma,transport_distal_mean,control_mean,control_sd
0.0,0.060246,0.063619,0.004517
0.01,0.061491,0.064771,0.004443
0.01778,0.062382,0.065595,0.004389
0.03162,0.063822,0.066919,0.004296
0.05623,0.066004,0.068908,0.004131
0.1,0.069014,0.071594,0.003828
0.1778,0.072669,0.074720,0.003327
0.3162,0.076442,0.077729,0.002721
0.5623,0.079488,0.079922,0.002262
1.0,0.080788,0.080531,0.001994
1.778,0.079333,0.078693,0.001708
3.162,0.074153,0.073431,0.001291
5.623,0.064347,0.063715,0.000806
10.0,0.049605,0.049170,0.000393
17.78,0.031988,0.031783,0.000142
31.62,0.016277,0.016214,0.000037
56.23,0.006258,0.006245,0.000007
100.0,0.001775,0.001773,0.000001
