gamma,auc,control_mean,control_sd
0.0,0.768275,0.748355,0.052333
0.01,0.774306,0.758406,0.054489
0.01778,0.774854,0.761842,0.052935
0.03162,0.784905,0.776425,0.052769
0.05623,0.799342,0.797697,0.044786
0.1,0.813231,0.820212,0.037439
0.1778,0.813962,0.837902,0.033575
0.3162,0.812500,0.849781,0.023252
0.5623,0.812135,0.854934,0.010650
1.0,0.819810,0.863377,0.009242
1.778,0.838085,0.865095,0.008018
3.162,0.839547,0.855227,0.004423
5.623,0.839181,0.849561,0.005274
10.0,0.834430,0.840058,0.006706
17.78,0.798063,0.801718,0.002605
31.62,0.760599,0.756213,0.001791
56.23,0.711623,0.710307,0.001147
100.0,0.652047,0.650731,0.002632
