gamma,auc,control_mean,control_sd
0.0,0.866959,0.855702,0.057249
0.01,0.873904,0.864693,0.055320
0.01778,0.876827,0.868933,0.053516
0.03162,0.884868,0.878874,0.049732
0.05623,0.892544,0.893202,0.043143
0.1,0.898392,0.909064,0.033068
0.1778,0.906067,0.921930,0.022184
0.3162,0.910819,0.930921,0.013843
0.5623,0.913377,0.934868,0.008801
1.0,0.919591,0.939254,0.005706
1.778,0.929459,0.940936,0.004285
3.162,0.933845,0.938085,0.002966
5.623,0.933114,0.935453,0.002993
10.0,0.926170,0.925439,0.002696
17.78,0.904605,0.905044,0.001253
31.62,0.878655,0.877924,0.000865
56.23,0.855629,0.855409,0.000179
100.0,0.837719,0.837500,0.000439
