gamma,transport_distal_mean,control_mean,control_sd
0.0,0.049667,0.048602,0.001979
0.01,0.050583,0.049260,0.001970
0.01778,0.051223,0.049729,0.001966
0.03162,0.052227,0.050482,0.001962
0.05623,0.053677,0.051607,0.001954
0.1,0.055527,0.053116,0.001916
0.1778,0.057544,0.054848,0.001779
0.3162,0.059372,0.056468,0.001480
0.5623,0.060601,0.057560,0.001092
1.0,0.060686,0.057666,0.000806
1.778,0.058963,0.056251,0.000693
3.162,0.054794,0.052708,0.000631
5.623,0.047759,0.046454,0.000518
10.0,0.037889,0.037258,0.000342
17.78,0.026073,0.025850,0.000167
31.62,0.014534,0.014480,0.000056
56.23,0.006133,0.006124,0.000013
100.0,0.001874,0.001873,0.000002
