gamma,auc,control_mean,control_sd
0.0,0.206723,0.428571,0.080084
0.01,0.194118,0.441513,0.071849
0.01778,0.194118,0.457815,0.063318
0.03162,0.189916,0.474118,0.056690
0.05623,0.189076,0.501008,0.053305
0.1,0.193277,0.527731,0.066034
0.1778,0.199160,0.549412,0.073329
0.3162,0.215126,0.563193,0.076121
0.5623,0.248739,0.535630,0.079120
1.0,0.289076,0.511429,0.078354
1.778,0.368908,0.515294,0.061153
3.162,0.493277,0.537815,0.046363
5.623,0.544538,0.569412,0.025050
10.0,0.572269,0.579496,0.011772
17.78,0.575630,0.576639,0.004522
31.62,0.540336,0.543529,0.002459
56.23,0.488235,0.489412,0.001960
100.0,0.433613,0.433613,0.001063
