gamma,auc,control_mean,control_sd
0.0,0.298319,0.484034,0.051788
0.01,0.291597,0.497311,0.046243
0.01778,0.291597,0.509580,0.041443
0.03162,0.289076,0.524370,0.037272
0.05623,0.289076,0.545042,0.037179
0.1,0.293277,0.567899,0.048526
0.1778,0.300840,0.588067,0.053625
0.3162,0.326891,0.599496,0.052976
0.5623,0.374790,0.588739,0.052824
1.0,0.419328,0.569412,0.061031
1.778,0.471429,0.572269,0.047868
3.162,0.548739,0.588403,0.034946
5.623,0.592437,0.609244,0.018955
10.0,0.610924,0.615126,0.009771
17.78,0.608403,0.610588,0.003428
31.62,0.588235,0.590252,0.001730
56.23,0.553782,0.554454,0.000823
100.0,0.525210,0.525210,0.000531
