gamma,transport_distal_mean,control_mean,control_sd
0.0,0.066549,0.080102,0.004156
0.01,0.068221,0.081403,0.004001
0.01778,0.069425,0.082313,0.003887
0.03162,0.071378,0.083745,0.003695
0.05623,0.074345,0.085820,0.003381
0.1,0.078416,0.088487,0.002896
0.1778,0.083237,0.091422,0.002241
0.3162,0.088022,0.094140,0.001550
0.5623,0.091999,0.096236,0.001036
1.0,0.094747,0.097432,0.000775
1.778,0.095953,0.097413,0.000663
3.162,0.095075,0.095652,0.000564
5.623,0.091097,0.091160,0.000428
10.0,0.082442,0.082304,0.000268
17.78,0.067793,0.067666,0.000127
31.62,0.048425,0.048366,0.000050
56.23,0.028893,0.028873,0.000018
100.0,0.013987,0.013982,0.000005
