gamma,auc,control_mean,control_sd
0.0,0.741497,0.634014,0.075043
0.01,0.741497,0.634879,0.072694
0.01778,0.743352,0.634261,0.067930
0.03162,0.745826,0.633148,0.064172
0.05623,0.734694,0.639827,0.058819
0.1,0.737168,0.642424,0.046525
0.1778,0.715523,0.642795,0.041571
0.3162,0.680891,0.637972,0.034678
0.5623,0.640693,0.641929,0.033404
1.0,0.632035,0.645022,0.031756
1.778,0.636982,0.648732,0.031293
3.162,0.632653,0.646135,0.021061
5.623,0.636982,0.644651,0.016467
10.0,0.641311,0.645022,0.011207
17.78,0.638219,0.645022,0.006486
31.62,0.653680,0.655288,0.001979
56.23,0.672233,0.672727,0.001377
100.0,0.661101,0.662338,0.001515
