gamma,auc,control_mean,control_sd
0.0,0.841682,0.778850,0.053937
0.01,0.844156,0.781323,0.050111
0.01778,0.847866,0.784168,0.047191
0.03162,0.849103,0.789487,0.042089
0.05623,0.849103,0.797032,0.037659
0.1,0.850340,0.803958,0.026588
0.1778,0.838590,0.812863,0.019563
0.3162,0.826221,0.819419,0.015921
0.5623,0.815708,0.824242,0.016825
1.0,0.813234,0.829808,0.018142
1.778,0.818800,0.829685,0.016926
3.162,0.823129,0.827953,0.013574
5.623,0.825603,0.827829,0.009505
10.0,0.830550,0.832158,0.004538
17.78,0.839827,0.842177,0.002635
31.62,0.851577,0.852319,0.001134
56.23,0.857143,0.857761,0.000391
100.0,0.843537,0.843908,0.000303
