gamma,transport_distal_mean,control_mean,control_sd
0.0,0.076045,0.083652,0.007414
0.01,0.077653,0.084939,0.007043
0.01778,0.078777,0.085836,0.006776
0.03162,0.080544,0.087238,0.006343
0.05623,0.083095,0.089250,0.005686
0.1,0.086344,0.091793,0.004793
0.1778,0.089863,0.094531,0.003760
0.3162,0.093106,0.097042,0.002758
0.5623,0.095742,0.098987,0.001905
1.0,0.097632,0.100052,0.001230
1.778,0.098443,0.099874,0.000730
3.162,0.097399,0.097946,0.000396
5.623,0.093415,0.093388,0.000212
10.0,0.085050,0.084775,0.000124
17.78,0.070780,0.070519,0.000074
31.62,0.051070,0.050935,0.000041
56.23,0.030386,0.030343,0.000017
100.0,0.014356,0.014347,0.000005
