gamma,auc,control_mean,control_sd
0.0,0.515302,0.550295,0.050016
0.01,0.517330,0.549189,0.052944
0.01778,0.516593,0.549004,0.055296
0.03162,0.516593,0.545354,0.058727
0.05623,0.516224,0.542588,0.057996
0.1,0.514749,0.536431,0.060455
0.1778,0.498525,0.534661,0.059510
0.3162,0.496681,0.536025,0.058069
0.5623,0.493732,0.536873,0.052830
1.0,0.509034,0.536578,0.042416
1.778,0.522677,0.535029,0.031153
3.162,0.531711,0.529351,0.015871
5.623,0.526733,0.522419,0.011114
10.0,0.518068,0.527507,0.003647
17.78,0.531711,0.538532,0.003279
31.62,0.557522,0.561763,0.000962
56.23,0.581858,0.583260,0.000503
100.0,0.589786,0.590229,0.000542
