gamma,auc,control_mean,control_sd
0.0,0.606195,0.650737,0.030167
0.01,0.609145,0.652212,0.030676
0.01778,0.608776,0.653392,0.030575
0.03162,0.614307,0.654867,0.030676
0.05623,0.616150,0.655531,0.030380
0.1,0.619469,0.654794,0.029463
0.1778,0.616150,0.656047,0.028697
0.3162,0.622419,0.659440,0.025755
0.5623,0.627581,0.662242,0.024482
1.0,0.642330,0.663348,0.019444
1.778,0.648599,0.660472,0.015145
3.162,0.650811,0.654794,0.009664
5.623,0.651917,0.653909,0.005387
10.0,0.656342,0.659882,0.002145
17.78,0.667404,0.669395,0.001372
31.62,0.686209,0.687537,0.000684
56.23,0.702434,0.702950,0.000295
100.0,0.707965,0.708112,0.000181
