gamma,transport_distal_mean,control_mean,control_sd
0.0,0.078248,0.085002,0.005889
0.01,0.079533,0.086228,0.005647
0.01778,0.080446,0.087086,0.005473
0.03162,0.081908,0.088436,0.005191
0.05623,0.084089,0.090391,0.004755
0.1,0.087016,0.092894,0.004137
0.1778,0.090427,0.095626,0.003357
0.3162,0.093814,0.098128,0.002522
0.5623,0.096669,0.100017,0.001767
1.0,0.098674,0.101019,0.001154
1.778,0.099522,0.100855,0.000690
3.162,0.098595,0.099063,0.000375
5.623,0.094865,0.094771,0.000196
10.0,0.086835,0.086508,0.000109
17.78,0.072833,0.072541,0.000068
31.62,0.053097,0.052948,0.000040
56.23,0.031998,0.031949,0.000017
100.0,0.015357,0.015345,0.000005
