gamma,auc,control_mean,control_sd
0.0,0.587179,0.620128,0.092235
0.01,0.606891,0.627308,0.088895
0.01778,0.614423,0.629038,0.088355
0.03162,0.627724,0.634744,0.085085
0.05623,0.639263,0.645513,0.082649
0.1,0.659936,0.666987,0.072940
0.1778,0.681410,0.688590,0.057710
0.3162,0.696314,0.706090,0.033428
0.5623,0.723718,0.719038,0.014127
1.0,0.725962,0.717917,0.013894
1.778,0.733654,0.712308,0.007344
3.162,0.726603,0.707051,0.005140
5.623,0.712821,0.696442,0.003575
10.0,0.691346,0.679712,0.003893
17.78,0.667949,0.661474,0.003259
31.62,0.615385,0.608013,0.003281
56.23,0.588141,0.586891,0.001121
100.0,0.560417,0.561186,0.000720
