gamma,auc,control_mean,control_sd
0.0,0.726282,0.734295,0.068488
0.01,0.741026,0.740128,0.066681
0.01778,0.747115,0.743269,0.064951
0.03162,0.761538,0.748782,0.062441
0.05623,0.774359,0.758718,0.058125
0.1,0.789744,0.776410,0.049642
0.1778,0.805449,0.794615,0.037399
0.3162,0.813782,0.806026,0.025866
0.5623,0.822115,0.812500,0.014639
1.0,0.822115,0.812244,0.009537
1.778,0.823718,0.810897,0.007261
3.162,0.818910,0.807885,0.005598
5.623,0.812179,0.802244,0.003374
10.0,0.799038,0.795513,0.001912
17.78,0.779167,0.777244,0.001732
31.62,0.756410,0.754167,0.001110
56.23,0.744872,0.744551,0.000287
100.0,0.735577,0.735833,0.000240
