gamma,transport_distal_mean,control_mean,control_sd
0.0,0.062971,0.062620,0.003330
0.01,0.063771,0.063591,0.003219
0.01778,0.064341,0.064271,0.003134
0.03162,0.065256,0.065342,0.002989
0.05623,0.066625,0.066896,0.002749
0.1,0.068470,0.068893,0.002377
0.1778,0.070619,0.071083,0.001877
0.3162,0.072706,0.073102,0.001342
0.5623,0.074291,0.074591,0.000925
1.0,0.074959,0.075163,0.000702
1.778,0.074268,0.074372,0.000594
3.162,0.071610,0.071670,0.000493
5.623,0.066278,0.066361,0.000354
10.0,0.057570,0.057670,0.000197
17.78,0.045230,0.045303,0.000079
31.62,0.030584,0.030617,0.000025
56.23,0.016951,0.016961,0.000007
100.0,0.007448,0.007450,0.000002
