gamma,auc,control_mean,control_sd
0.0,0.787707,0.524736,0.053816
0.01,0.787707,0.522398,0.055413
0.01778,0.791101,0.524208,0.051732
0.03162,0.787707,0.519457,0.050706
0.05623,0.783560,0.520060,0.053802
0.1,0.784314,0.521116,0.060700
0.1778,0.756410,0.519306,0.051934
0.3162,0.720588,0.516440,0.045580
0.5623,0.695324,0.516742,0.039304
1.0,0.697587,0.523002,0.049422
1.778,0.687783,0.541026,0.060459
3.162,0.660633,0.563952,0.048326
5.623,0.603695,0.573152,0.023277
10.0,0.597662,0.573077,0.014525
17.78,0.569382,0.562293,0.008918
31.62,0.528658,0.522926,0.003434
56.23,0.489065,0.489367,0.000603
100.0,0.458899,0.456109,0.002219
