gamma,auc,control_mean,control_sd
0.0,0.585973,0.298944,0.031194
0.01,0.579563,0.296154,0.032305
0.01778,0.573529,0.293514,0.032340
0.03162,0.567496,0.291176,0.031813
0.05623,0.545249,0.288160,0.033139
0.1,0.517722,0.284087,0.036284
0.1778,0.454374,0.278582,0.036636
0.3162,0.394796,0.271041,0.034510
0.5623,0.359729,0.268175,0.028930
1.0,0.340121,0.269005,0.027615
1.778,0.323152,0.268552,0.025041
3.162,0.302036,0.270060,0.017188
5.623,0.279789,0.269155,0.008416
10.0,0.269985,0.264555,0.004121
17.78,0.258673,0.257692,0.002497
31.62,0.246606,0.245023,0.001023
56.23,0.236802,0.236802,0.000238
100.0,0.229261,0.228658,0.000511
