gamma,transport_distal_mean,control_mean,control_sd
0.0,0.078172,0.068956,0.003077
0.01,0.079014,0.070147,0.002969
0.01778,0.079601,0.070985,0.002900
0.03162,0.080523,0.072310,0.002805
0.05623,0.081858,0.074247,0.002690
0.1,0.083581,0.076762,0.002566
0.1778,0.085498,0.079564,0.002412
0.3162,0.087286,0.082202,0.002171
0.5623,0.088543,0.084238,0.001826
1.0,0.088813,0.085253,0.001429
1.778,0.087569,0.084745,0.001045
3.162,0.084070,0.082016,0.000730
5.623,0.077516,0.076254,0.000487
10.0,0.067286,0.066658,0.000291
17.78,0.053126,0.052867,0.000147
31.62,0.036314,0.036223,0.000060
56.23,0.020455,0.020429,0.000019
100.0,0.009129,0.009124,0.000005
