gamma,auc,control_mean,control_sd
0.0,0.660253,0.616110,0.073076
0.01,0.657234,0.617827,0.074981
0.01778,0.663554,0.617468,0.076964
0.03162,0.665818,0.615582,0.079426
0.05623,0.675816,0.613752,0.077954
0.1,0.681758,0.617185,0.074821
0.1778,0.694680,0.616167,0.076309
0.3162,0.703829,0.624410,0.072446
0.5623,0.726467,0.640106,0.067130
1.0,0.719581,0.654669,0.056448
1.778,0.702415,0.656121,0.042804
3.162,0.688549,0.656631,0.024866
5.623,0.665346,0.651952,0.013154
10.0,0.660441,0.651104,0.007117
17.78,0.668930,0.661385,0.004269
31.62,0.702415,0.699868,0.002282
56.23,0.736653,0.736918,0.001265
100.0,0.762969,0.762667,0.000307
