gamma,auc,control_mean,control_sd
0.0,0.682135,0.610413,0.071738
0.01,0.681570,0.611696,0.071481
0.01778,0.683645,0.613054,0.072330
0.03162,0.684211,0.612715,0.071879
0.05623,0.686286,0.612677,0.070878
0.1,0.681381,0.613960,0.067093
0.1778,0.681192,0.615657,0.062612
0.3162,0.679872,0.619317,0.056804
0.5623,0.682513,0.628447,0.047392
1.0,0.679494,0.631994,0.038447
1.778,0.664403,0.633579,0.028892
3.162,0.654593,0.630749,0.018943
5.623,0.640634,0.627919,0.009388
10.0,0.634786,0.626976,0.004859
17.78,0.633277,0.628674,0.002150
31.62,0.638559,0.636936,0.000905
56.23,0.643086,0.643048,0.000526
100.0,0.641577,0.641388,0.000239
