gamma,transport_distal_mean,control_mean,control_sd
0.0,0.055663,0.061489,0.005896
0.01,0.056585,0.062245,0.005551
0.01778,0.057242,0.062773,0.005310
0.03162,0.058299,0.063603,0.004933
0.05623,0.059892,0.064808,0.004388
0.1,0.062086,0.066368,0.003692
0.1778,0.064782,0.068127,0.002932
0.3162,0.067680,0.069830,0.002242
0.5623,0.070251,0.071151,0.001730
1.0,0.071791,0.071644,0.001373
1.778,0.071551,0.070732,0.001071
3.162,0.068728,0.067673,0.000787
5.623,0.062471,0.061534,0.000525
10.0,0.052143,0.051499,0.000294
17.78,0.038080,0.037753,0.000126
31.62,0.022685,0.022573,0.000040
56.23,0.010191,0.010166,0.000009
100.0,0.003271,0.003268,0.000001
