gamma,auc,control_mean,control_sd
0.0,0.384009,0.458288,0.141810
0.01,0.379054,0.466396,0.142403
0.01778,0.377928,0.477387,0.140243
0.03162,0.379505,0.494279,0.138953
0.05623,0.369820,0.512568,0.137267
0.1,0.354730,0.528784,0.132341
0.1778,0.325901,0.545991,0.121041
0.3162,0.311486,0.557613,0.120114
0.5623,0.341216,0.564865,0.107873
1.0,0.385135,0.564730,0.089156
1.778,0.472748,0.570766,0.060457
3.162,0.530856,0.574324,0.039415
5.623,0.565090,0.573243,0.024231
10.0,0.579054,0.578784,0.015733
17.78,0.583559,0.583919,0.006309
31.62,0.584459,0.586712,0.003298
56.23,0.606982,0.605360,0.002620
100.0,0.624099,0.624234,0.001081
