gamma,auc,control_mean,control_sd
0.0,0.527027,0.617568,0.090568
0.01,0.536937,0.626126,0.088339
0.01778,0.539189,0.634324,0.087751
0.03162,0.548198,0.644955,0.087061
0.05623,0.553153,0.659910,0.081298
0.1,0.558559,0.675135,0.074725
0.1778,0.548198,0.690991,0.067301
0.3162,0.560360,0.704144,0.061929
0.5623,0.590991,0.715045,0.051858
1.0,0.634234,0.723694,0.037520
1.778,0.687838,0.730450,0.025860
3.162,0.714865,0.732523,0.017662
5.623,0.730180,0.733243,0.012913
10.0,0.737838,0.735676,0.008155
17.78,0.739189,0.738288,0.003682
31.62,0.742793,0.743153,0.001491
56.23,0.753604,0.752973,0.000883
100.0,0.759009,0.759369,0.000441
