gamma,transport_distal_mean,control_mean,control_sd
0.0,0.084806,0.087364,0.004255
0.01,0.085918,0.088647,0.004161
0.01778,0.086685,0.089543,0.004084
0.03162,0.087872,0.090946,0.003941
0.05623,0.089553,0.092964,0.003683
0.1,0.091665,0.095517,0.003251
0.1778,0.094011,0.098254,0.002636
0.3162,0.096452,0.100708,0.001936
0.5623,0.098868,0.102532,0.001318
1.0,0.100887,0.103484,0.000879
1.778,0.101882,0.103277,0.000601
3.162,0.101022,0.101369,0.000420
5.623,0.097098,0.096766,0.000300
10.0,0.088389,0.087841,0.000211
17.78,0.073322,0.072911,0.000122
31.62,0.052755,0.052567,0.000049
56.23,0.031359,0.031303,0.000012
100.0,0.014801,0.014790,0.000002
