gamma,auc,control_mean,control_sd
0.0,0.523480,0.483925,0.076346
0.01,0.516556,0.482420,0.074827
0.01778,0.517459,0.483082,0.073543
0.03162,0.511439,0.481276,0.073283
0.05623,0.518964,0.480614,0.072296
0.1,0.518362,0.481999,0.073588
0.1778,0.501505,0.471945,0.075739
0.3162,0.496990,0.460205,0.079375
0.5623,0.479831,0.444792,0.080332
1.0,0.472908,0.432450,0.074101
1.778,0.464780,0.422035,0.059257
3.162,0.437086,0.424564,0.042402
5.623,0.445214,0.437267,0.028113
10.0,0.460867,0.460566,0.016659
17.78,0.498796,0.495665,0.009301
31.62,0.531306,0.529801,0.001386
56.23,0.545154,0.545876,0.000963
100.0,0.559603,0.560686,0.000885
