gamma,auc,control_mean,control_sd
0.0,0.661951,0.624262,0.067329
0.01,0.663757,0.628296,0.066669
0.01778,0.664660,0.629801,0.066541
0.03162,0.662252,0.632390,0.064423
0.05623,0.667068,0.637267,0.063837
0.1,0.665563,0.642625,0.060793
0.1778,0.663757,0.646960,0.060252
0.3162,0.664961,0.645996,0.059637
0.5623,0.663456,0.637929,0.055883
1.0,0.661048,0.632511,0.049575
1.778,0.658338,0.630403,0.037963
3.162,0.648104,0.634678,0.024279
5.623,0.654124,0.649007,0.015259
10.0,0.668874,0.670138,0.006788
17.78,0.690247,0.690427,0.003483
31.62,0.710114,0.709332,0.000676
56.23,0.721252,0.720650,0.000190
100.0,0.734798,0.735099,0.000190
