gamma,transport_distal_mean,control_mean,control_sd
0.0,0.052048,0.059262,0.003291
0.01,0.053180,0.059884,0.003167
0.01778,0.053979,0.060326,0.003077
0.03162,0.055250,0.061037,0.002927
0.05623,0.057123,0.062101,0.002693
0.1,0.059584,0.063544,0.002354
0.1778,0.062369,0.065253,0.001926
0.3162,0.065059,0.066973,0.001456
0.5623,0.067272,0.068343,0.001020
1.0,0.068578,0.068923,0.000710
1.778,0.068377,0.068171,0.000544
3.162,0.065892,0.065392,0.000440
5.623,0.060198,0.059676,0.000338
10.0,0.050442,0.050056,0.000234
17.78,0.036707,0.036497,0.000132
31.62,0.021558,0.021483,0.000050
56.23,0.009515,0.009499,0.000012
100.0,0.003013,0.003011,0.000002
