gamma,auc,control_mean,control_sd
0.0,0.276316,0.361134,0.025159
0.01,0.277328,0.359312,0.025467
0.01778,0.277665,0.356275,0.023499
0.03162,0.277665,0.355803,0.023777
0.05623,0.288462,0.353846,0.023297
0.1,0.293522,0.352901,0.030331
0.1778,0.302969,0.347773,0.041399
0.3162,0.311404,0.350405,0.040353
0.5623,0.325574,0.347031,0.038242
1.0,0.329285,0.346964,0.043094
1.778,0.349190,0.334109,0.033512
3.162,0.343117,0.327935,0.023657
5.623,0.338057,0.324494,0.016212
10.0,0.313428,0.307152,0.008269
17.78,0.275641,0.276518,0.003364
31.62,0.262483,0.262955,0.000869
56.23,0.281714,0.282659,0.001530
100.0,0.340756,0.341228,0.001141
