gamma,auc,control_mean,control_sd
0.0,0.306680,0.381174,0.034025
0.01,0.306005,0.381242,0.034366
0.01778,0.309042,0.379150,0.034081
0.03162,0.308367,0.376316,0.035656
0.05623,0.315115,0.375843,0.033822
0.1,0.323887,0.375169,0.036333
0.1778,0.336707,0.375574,0.041833
0.3162,0.352227,0.374696,0.044507
0.5623,0.370445,0.370715,0.042499
1.0,0.383266,0.368489,0.037056
1.778,0.393725,0.365857,0.026408
3.162,0.389001,0.364642,0.016397
5.623,0.380567,0.362483,0.007446
10.0,0.369096,0.359312,0.003811
17.78,0.357962,0.353644,0.002617
31.62,0.355938,0.355061,0.000895
56.23,0.377868,0.378003,0.000405
100.0,0.415992,0.416127,0.000344
