gamma,transport_distal_mean,control_mean,control_sd
0.0,0.066856,0.065315,0.003740
0.01,0.067805,0.066264,0.003609
0.01778,0.068474,0.066943,0.003516
0.03162,0.069536,0.068041,0.003369
0.05623,0.071092,0.069702,0.003145
0.1,0.073124,0.071983,0.002825
0.1778,0.075401,0.074718,0.002395
0.3162,0.077587,0.077488,0.001878
0.5623,0.079392,0.079731,0.001393
1.0,0.080428,0.080850,0.001047
1.778,0.079968,0.080191,0.000795
3.162,0.076997,0.076954,0.000594
5.623,0.070356,0.070133,0.000422
10.0,0.059176,0.058926,0.000247
17.78,0.044255,0.044105,0.000104
31.62,0.028733,0.028678,0.000031
56.23,0.015936,0.015921,0.000007
100.0,0.007369,0.007366,0.000001
