gamma,auc,control_mean,control_sd
0.0,0.405810,0.477289,0.068433
0.01,0.394806,0.475044,0.070595
0.01778,0.389085,0.473812,0.073223
0.03162,0.399208,0.472227,0.072746
0.05623,0.382482,0.472755,0.078728
0.1,0.379401,0.466945,0.073319
0.1778,0.344190,0.469102,0.070237
0.3162,0.304577,0.473415,0.076231
0.5623,0.299956,0.474560,0.074016
1.0,0.309419,0.483451,0.065796
1.778,0.348592,0.483363,0.047444
3.162,0.400968,0.467254,0.036489
5.623,0.438820,0.457835,0.016984
10.0,0.441021,0.454137,0.015582
17.78,0.441021,0.448151,0.007559
31.62,0.452025,0.456426,0.003766
56.23,0.456866,0.456866,0.000000
100.0,0.451144,0.451144,0.000000
