gamma,auc,control_mean,control_sd
0.0,0.113116,0.162412,0.021914
0.01,0.099032,0.158187,0.020862
0.01778,0.092430,0.154665,0.019767
0.03162,0.087588,0.149296,0.020559
0.05623,0.078345,0.143662,0.020790
0.1,0.073063,0.132746,0.018857
0.1778,0.066021,0.122359,0.016834
0.3162,0.053257,0.112412,0.017556
0.5623,0.047975,0.100968,0.014750
1.0,0.049296,0.093574,0.014445
1.778,0.057658,0.089965,0.010866
3.162,0.067782,0.085299,0.006572
5.623,0.072183,0.081602,0.003762
10.0,0.072623,0.076849,0.002388
17.78,0.071743,0.072799,0.000449
31.62,0.072623,0.072975,0.000513
56.23,0.068222,0.068134,0.000176
100.0,0.066901,0.066901,0.000000
