gamma,transport_distal_mean,control_mean,control_sd
0.0,0.054619,0.062502,0.002125
0.01,0.055646,0.063164,0.002057
0.01778,0.056372,0.063626,0.002014
0.03162,0.057527,0.064353,0.001951
0.05623,0.059230,0.065402,0.001866
0.1,0.061466,0.066737,0.001744
0.1778,0.063991,0.068176,0.001560
0.3162,0.066427,0.069460,0.001314
0.5623,0.068425,0.070338,0.001057
1.0,0.069560,0.070506,0.000823
1.778,0.069278,0.069547,0.000622
3.162,0.067061,0.066960,0.000467
5.623,0.062483,0.062247,0.000328
10.0,0.055220,0.054997,0.000187
17.78,0.045029,0.044888,0.000080
31.62,0.032362,0.032300,0.000025
56.23,0.019451,0.019432,0.000006
100.0,0.009370,0.009366,0.000002
