draw_order,pdb,protein,chain,residues,n_allosteric,selected
1,2RD5,"Acetylglutamate kinase, chloroplastic",A,282,12,yes
2,3HO6,Toxin A,A,251,14,yes
3,4B1F,Glutamate racemase,A,255,14,yes
4,4BBG,Kinesin-like protein KIF11,A,336,14,yes
5,4PFK,ATP-dependent 6-phosphofructokinase,A,319,8,yes
6,3PYY,Tyrosine-protein kinase ABL1,A,265,12,yes
7,3ZCW,Kinesin-like protein KIF11,A,321,19,
8,3HFR,Glutamate racemase,A,266,5,
9,3M3F,Glutamate receptor 3,A,259,12,
10,3H30,Casein kinase II subunit alpha,A,333,9,
11,2YHD,Androgen receptor,A,249,8,
12,4HO6,Glucose-1-phosphate thymidylyltransferase,A,288,12,
13,2YLO,Androgen receptor,A,250,10,
14,3K5V,Tyrosine-protein kinase ABL1,A,286,17,
15,2VD3,ATP phosphoribosyltransferase,A,290,8,
16,3PXF,Cyclin-dependent kinase 2,A,302,18,
17,1ZDS,Copper-containing nitrite reductase,A,335,9,
18,1NH8,ATP phosphoribosyltransferase,A,277,6,
19,2QPY,Androgen receptor,A,248,10,
20,2VVT,Glutamate racemase,A,270,12,
