pdb,setting,value,beyond_distance_best,best_gamma,p_value,classical_best,energy_weighted_best
1T49,T,15.0,0.7228915662650602,1.778,0.014598540145985401,0.6546184738955824,0.7342704149933066
1T49,T,60.0,0.7259036144578314,1.778,0.014698530146985302,0.6572958500669344,0.7272423025435074
1T49,cutoff,7.0,0.7284136546184738,1.0,0.014698530146985302,0.5957161981258366,0.7228915662650602
1T49,cutoff,9.0,0.8480589022757697,3.162,0.00019998000199980003,0.7821285140562249,0.8346720214190094
1T49,scale,1.0,0.7108433734939759,1.0,0.023897610238976102,0.6552878179384204,0.7309236947791165
1T49,scale,5.0,0.7322623828647925,3.162,0.011898810118988102,0.6552878179384204,0.7346050870147256
3LSW,T,15.0,0.7458256029684601,0.01,0.035096490350964904,0.6703772418058133,0.66852195423624
3LSW,T,60.0,0.7427334570191713,0.03162,0.0403959604039596,0.6728509585652442,0.6691403834260977
3LSW,cutoff,7.0,0.6205936920222634,31.62,0.32356764323567644,0.6239950525664811,0.6209029066171924
3LSW,cutoff,9.0,0.6147186147186147,1.778,0.2987701229877012,0.6116264687693259,0.6103896103896104
3LSW,scale,1.0,0.7217068645640075,0.1778,0.05579442055794421,0.6666666666666666,0.6728509585652442
3LSW,scale,5.0,0.6703772418058133,56.23,0.1675832416758324,0.6666666666666666,0.6728509585652442
3PYY,T,15.0,0.7843137254901961,0.03162,0.0010998900109989002,0.5923831070889894,0.776395173453997
3PYY,T,60.0,0.8114630467571644,0.01,0.0005999400059994001,0.5904977375565611,0.7816742081447964
3PYY,cutoff,7.0,0.7892156862745098,0.1778,0.0008999100089991,0.6210407239819005,0.8514328808446455
3PYY,cutoff,9.0,0.7990196078431373,0.1,0.00039996000399960006,0.5912518853695324,0.8046757164404224
3PYY,scale,1.0,0.7021116138763197,0.3162,0.0292970702929707,0.5904977375565611,0.7760180995475113
3PYY,scale,5.0,0.7703619909502263,0.3162,0.0018998100189981002,0.5904977375565611,0.776395173453997
3ZCW,T,15.0,0.7784380305602716,100.0,9.999000099990002e-05,0.7769288813431428,0.7783437087342011
3ZCW,T,60.0,0.725429164308621,100.0,0.0017998200179982,0.762969251084701,0.725429164308621
3ZCW,cutoff,7.0,0.6472363704961328,100.0,0.05269473052694731,0.6453499339747217,0.6785512167515563
3ZCW,cutoff,9.0,0.5744199207696661,100.0,0.3200679932006799,0.5808338049424637,0.6270514997170346
3ZCW,scale,1.0,0.762969251084701,100.0,0.00029997000299970003,0.7770232031692134,0.762969251084701
3ZCW,scale,5.0,0.762969251084701,100.0,0.00039996000399960006,0.7770232031692134,0.7635351820411244
3H30,T,15.0,0.8245614035087719,3.162,0.0012998700129987,0.8548976608187134,0.8238304093567251
3H30,T,60.0,0.8472222222222222,3.162,0.0004999500049995,0.85453216374269,0.8468567251461988
3H30,cutoff,7.0,0.7627923976608187,3.162,0.009799020097990201,0.8271198830409356,0.7682748538011696
3H30,cutoff,9.0,0.8782894736842105,10.0,0.00029997000299970003,0.8804824561403509,0.8830409356725146
3H30,scale,1.0,0.8552631578947368,5.623,0.00039996000399960006,0.85453216374269,0.8527046783625731
3H30,scale,5.0,0.8320540935672515,5.623,0.0007999200079992001,0.85453216374269,0.8296783625730995
3PXF,T,15.0,0.7153846153846154,1.778,0.0164983501649835,0.7102564102564103,0.7493589743589744
3PXF,T,60.0,0.7378205128205129,1.778,0.007399260073992601,0.7102564102564103,0.7387820512820513
3PXF,cutoff,7.0,0.649198717948718,1.778,0.11018898110188981,0.6806089743589744,0.6690705128205128
3PXF,cutoff,9.0,0.7278846153846154,5.623,0.009599040095990401,0.7233974358974359,0.7224358974358974
3PXF,scale,1.0,0.732051282051282,1.778,0.007699230076992301,0.7102564102564103,0.7323717948717948
3PXF,scale,5.0,0.7262820512820513,3.162,0.0117988201179882,0.7102564102564103,0.7439102564102564
