pdb,residues,no_ca,closeness_auc,closeness_beyond,closeness_p,betweenness_auc,betweenness_beyond,betweenness_p,prs_auc,prs_beyond,prs_p
1T49,282,0,0.44544846050870146,0.5920348058902276,0.14458554144585542,0.3149263721552878,0.4126506024096386,0.8519148085191481,0.31894243641231595,0.3614457831325301,0.95000499950005
3LSW,259,0,0.8401360544217688,0.6991341991341992,0.030896910308969103,0.6320346320346321,0.42857142857142855,0.7342265773422658,0.37909709338280767,0.44465058750773034,0.6965303469653035
1IWH,141,0,0.6550387596899225,0.563953488372093,0.2860713928607139,0.6395348837209303,0.49224806201550386,0.5257474252574742,0.7609819121447028,0.603359173126615,0.1977802219778022
3CSM,253,0,0.5483333333333333,0.5438888888888889,0.3398660133986601,0.6405555555555555,0.6455555555555555,0.0811918808119188,0.38166666666666665,0.5233333333333333,0.41385861413858616
2RD5,282,0,0.6002342704149933,0.7438085676037484,0.0021997800219978004,0.6022423025435074,0.7021419009370816,0.0081991800819918,0.0823293172690763,0.1278447121820616,1.0
3HO6,251,0,0.7799642218246869,0.7454382826475849,0.0007999200079992001,0.7957066189624329,0.7570661896243291,0.0008999100089991,0.6633273703041145,0.7073345259391771,0.005699430056994301
4B1F,255,0,0.6247747747747747,0.41193693693693695,0.8232176782321767,0.5693693693693693,0.4277027027027027,0.7813218678132187,0.6216216216216216,0.7610360360360361,0.0020997900209979003
4BBG,336,0,0.595574954846478,0.423841059602649,0.8053194680531947,0.5788681517158338,0.42083082480433476,0.8172182781721827,0.5833835039133053,0.5334136062612884,0.35776422357764226
4PFK,319,0,0.1542693661971831,0.6139964788732394,0.1192880711928807,0.38600352112676056,0.7178697183098591,0.011498850114988501,0.6272007042253521,0.32526408450704225,0.9663033696630337
3PYY,265,0,0.5618401206636501,0.666289592760181,0.022997700229977002,0.5750377073906485,0.6195324283559578,0.0766923307669233,0.20475113122171945,0.2096530920060332,1.0
3ZCW,321,0,0.7249575551782682,0.6927938124882098,0.0020997900209979003,0.6383701188455009,0.613657800415016,0.047795220477952205,0.29956611960007545,0.29239766081871343,0.9991000899910009
3HFR,266,0,0.44243697478991595,0.31554621848739495,0.92010798920108,0.3663865546218487,0.2529411764705882,0.9702029797020298,0.2319327731092437,0.2630252100840336,0.9672032796720328
3M3F,259,0,0.7356194690265486,0.655051622418879,0.0347965203479652,0.5608407079646017,0.43178466076696165,0.7805219478052194,0.38753687315634217,0.4668141592920354,0.641035896410359
3H30,333,0,0.17141812865497075,0.1372441520467836,0.9999000099990001,0.4725877192982456,0.3428362573099415,0.9514048595140486,0.8676900584795322,0.7827119883040936,0.0016998300169983002
2YHD,249,0,0.6281828703703703,0.5237268518518519,0.4066593340665933,0.4965277777777778,0.43431712962962965,0.7241275872412759,0.3975694444444444,0.45023148148148145,0.6843315668433156
4HO6,288,0,0.6813427800269906,0.7022604588394062,0.007499250074992501,0.5786099865047234,0.5644399460188934,0.22087791220877911,0.2392037786774629,0.24224021592442646,0.9993000699930007
2VD3,290,0,0.37969924812030076,0.46921992481203006,0.6212378762123788,0.5700187969924813,0.6264097744360902,0.10118988101189881,0.33881578947368424,0.2695018796992481,0.9889011098890111
3PXF,302,0,0.49262820512820515,0.36762820512820515,0.9411058894110589,0.6336538461538461,0.5323717948717949,0.34926507349265073,0.5442307692307692,0.5057692307692307,0.4727527247275273
1ZDS,335,0,0.5769097222222223,0.36302083333333335,0.9233076692330767,0.7579861111111111,0.6236111111111111,0.10038996100389962,0.15381944444444445,0.25833333333333336,0.9944005599440056
