pdb,set,protein,residues,active_residues,allosteric_residues,raw_auc_best,proximity_auc,beyond_distance_best,best_gamma,quantum_end,dephased_end,noise_gain,p_value,classical_best,quantum_minus_classical,classical_p_value,energy_weighted_best,energy_weighted_gamma,energy_weighted_p_value,quantum_minus_energy_weighted,control_best_seed,transport_verdict,transport_peak_gamma,difference_gamma,difference_rate,difference_auc,difference_p,allosteric_quantum_favoured,ci_low,ci_high
1T49,development,Tyrosine-protein phosphatase non-receptor type 1,282,21,12,0.43105756358768405,0.28714859437751006,0.7272423025435074,1.778,0.5548862115127176,0.6395582329317269,0.08768406961178055,0.013598640135986401,0.6552878179384204,0.07195448460508702,0.058394160583941604,0.7275769710540771,1.778,0.014198580141985802,-0.00033466851056973557,0.7121820615796519,hump,1.778,1.778,0.3251463664406409,0.6857429718875502,0.012598740125987402,0.6666666666666666,0.5764547285962704,0.8514363012072188
3LSW,development,Glutamate receptor 3,259,21,7,0.8571428571428571,0.7609771181199753,0.7458256029684601,0.03162,0.7414965986394558,0.6611008039579468,0.0043290043290042934,0.03849615038496151,0.6666666666666666,0.07915893630179349,0.1110888911108889,0.6728509664535522,56.23,0.17668233176682333,0.07297463651490788,0.7544836116264688,hump,1.778,0.03162,0.14226264977309983,0.6351267779839208,0.11328867113288671,0.7142857142857143,0.479687653553058,0.948936170212766
1IWH,development,Hemoglobin subunit alpha,141,6,6,0.8785529715762274,0.8410852713178295,0.6873385012919897,0.5623,0.6472868217054264,0.627906976744186,0.040051679586563305,0.1760823917608239,0.6266149870801033,0.060723514211886376,0.21227877212278773,0.737726092338562,0.3162,0.07599240075992401,-0.05038759104657231,0.627906976744186,hump,1.0,0.5623,0.43404027945152823,0.7364341085271318,0.021597840215978402,0.5,0.3537596414425683,0.9511278195488722
3CSM,development,Chorismate mutase,253,20,8,0.34833333333333333,0.3397222222222222,0.4961111111111111,0.3162,0.485,0.32944444444444443,0.011111111111111127,0.8034196580341966,0.4855555555555556,0.01055555555555554,0.7312268773122688,0.4627777636051178,1.0,0.9232076792320768,0.033333347505993316,0.6522222222222223,hump,1.0,0.3162,0.34101388780621045,0.6266666666666667,0.11348865113488651,0.625,0.2955986842105263,0.6959702907711757
2RD5,validation,"Acetylglutamate kinase, chloroplastic",282,21,12,0.23862115127175368,0.3177710843373494,0.3433734939759036,0.0,0.3433734939759036,0.2935073627844712,0.0,0.9966003399660034,0.36412315930388217,-0.02074966532797856,0.9787021297870213,0.5860106945037842,0.01,0.39306069393060694,-0.24263720052788057,0.45548862115127176,hump,1.0,0.0,0.15967113145150164,0.5408299866131191,0.32266773322667736,0.5833333333333334,0.22134073183379102,0.47302853888672963
3HO6,validation,Toxin A,251,23,13,0.631484794275492,0.5973166368515206,0.5849731663685152,100.0,0.5066189624329159,0.5849731663685152,0.0,0.3264673532646735,0.6370304114490161,-0.052057245080500913,0.08599140085991401,0.5867620706558228,100.0,0.36766323367663234,-0.0017889042873076022,0.5874776386404293,hump,1.0,100.0,0.01995887912741624,0.2,1.0,0.0,0.45543828264758496,0.7145613394139434
4B1F,validation,Glutamate racemase,255,23,10,0.759009009009009,0.7195945945945946,0.6240990990990991,100.0,0.38400900900900903,0.6240990990990991,0.0,0.22747725227477253,0.6204954954954955,0.003603603603603567,0.1623837616238376,0.62409907579422,100.0,0.26277372262773724,2.3304879137597823e-08,0.6844594594594594,hump,1.778,100.0,0.019960964019425296,0.43445945945945946,0.7607239276072393,0.3,0.4845710041592395,0.7684334027107463
4BBG,validation,Kinesin-like protein KIF11,336,23,11,0.7347983142685129,0.7382600842865743,0.5596026490066225,100.0,0.5234798314268513,0.5596026490066225,0.0,0.47265273472652736,0.5701384708007224,-0.010535821794099953,0.33126687331266874,0.6619506478309631,0.1778,0.097990200979902,-0.10234799882434065,0.6083684527393136,hump,1.0,100.0,0.019957426888285296,0.49819385912101144,0.5132486751324867,0.09090909090909091,0.32655047469807597,0.7771823266219239
4PFK,validation,ATP-dependent 6-phosphofructokinase,319,27,8,0.1131161971830986,0.06360035211267606,0.45686619718309857,56.23,0.40580985915492956,0.4511443661971831,0.005721830985915444,0.8871112888711129,0.457306338028169,-0.0004401408450704358,0.754024597540246,0.47843310236930847,0.01,0.8223177682231777,-0.021566905186209906,0.5651408450704225,hump,1.0,56.23,0.03530617660555964,0.27024647887323944,0.9911008899110089,0.625,0.24655172413793103,0.6536704566293783
3PYY,validation,Tyrosine-protein kinase ABL1,265,32,12,0.5859728506787331,0.23265460030165913,0.7911010558069381,0.01778,0.7877073906485671,0.4588989441930618,0.0033936651583710287,0.000999900009999,0.5904977375565611,0.20060331825037703,0.26647335266473354,0.7763952016830444,0.05623,0.001999800019998,0.014705854123893691,0.6251885369532428,hump,1.0,0.01778,0.2759307782178845,0.7843137254901961,0.00029997000299970003,0.75,0.6741071428571429,0.8898745086031489
3ZCW,validation,Kinesin-like protein KIF11,321,23,19,0.6862856064893417,0.5572533484248255,0.762969251084701,100.0,0.6602527824938691,0.762969251084701,0.0,0.00029997000299970003,0.7770232031692134,-0.014053952084512322,9.999000099990002e-05,0.76353520154953,100.0,0.0004999500049995,-0.0005659504648289904,0.762969251084701,hump,1.0,100.0,0.01996346582550882,0.45500848896434637,0.7406259374062594,0.10526315789473684,0.6688387747629599,0.8430660671308234
3HFR,validation,Glutamate racemase,266,23,5,0.6109243697478992,0.5558823529411765,0.5756302521008403,17.78,0.20672268907563024,0.4336134453781513,0.14201680672268902,0.561943805619438,0.5907563025210084,-0.015126050420168125,0.3531646835316468,0.578151285648346,10.0,0.5528447155284472,-0.0025210335475056578,0.6764705882352942,hump,1.778,17.78,0.1051986675108265,0.32857142857142857,0.9024097590240976,0.0,0.36666666666666664,0.7655507514209002
3M3F,validation,Glutamate receptor 3,259,21,12,0.7079646017699115,0.6709070796460177,0.5897861356932154,100.0,0.5153023598820059,0.5897861356932154,0.0,0.3207679232076792,0.5951327433628318,-0.005346607669616477,0.21147885211478853,0.5897861123085022,100.0,0.37076292370762925,2.338471316587487e-08,0.6307153392330384,hump,1.778,100.0,0.019954530209634842,0.5964233038348082,0.13158684131586842,0.3333333333333333,0.39290716229274747,0.7782179533044361
